type,name,industry,program,role,gender,commitment,completed
judge,12194-user@example.com,General,Israel,Executive,male,10,10
judge,12199-user@example.com,High Tech,Israel,Executive,male,10,10
judge,12235-user@example.com,Energy / Clean Tech,Boston,Investor,female,10,9
judge,12600-user@example.com,High Tech,Boston,Executive,male,10,10
judge,12630-user@example.com,General,Boston,Investor,female,20,20
judge,12633-user@example.com,High Tech,Boston,Executive,female,20,20
judge,12678-user@example.com,High Tech,Boston,Executive,male,50,0
judge,12694-user@example.com,High Tech,Boston,Investor,male,20,20
judge,12699-user@example.com,High Tech,Boston,Executive,male,20,20
judge,12995-user@example.com,General,Boston,Other,male,20,19
judge,13113-user@example.com,High Tech,Boston,Executive,male,20,20
judge,13119-user@example.com,High Tech,Boston,Executive,female,20,20
judge,13122-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,13322-user@example.com,High Tech,Boston,Lawyer,male,10,10
judge,13324-user@example.com,High Tech,Boston,Lawyer,male,20,20
judge,13344-user@example.com,Social Impact,Boston,Other,male,10,10
judge,13428-user@example.com,General,Boston,Executive,male,50,49
judge,13483-user@example.com,General,Boston,Executive,female,20,18
judge,13835-user@example.com,General,Boston,Investor,female,20,20
judge,13881-user@example.com,High Tech,Israel,Executive,male,10,3
judge,13902-user@example.com,High Tech,Boston,Executive,male,10,5
judge,13946-user@example.com,Energy / Clean Tech,Israel,Executive,prefer not to state,10,10
judge,13952-user@example.com,High Tech,Boston,Executive,female,30,29
judge,13972-user@example.com,Social Impact,Boston,Executive,female,10,10
judge,14031-user@example.com,High Tech,Boston,Other,female,50,50
judge,14038-user@example.com,High Tech,Boston,Executive,male,10,9
judge,14480-user@example.com,High Tech,Boston,Executive,male,20,20
judge,14515-user@example.com,High Tech,Boston,Executive,male,10,5
judge,14967-user@example.com,High Tech,Boston,Executive,male,20,20
judge,14975-user@example.com,High Tech,Boston,Executive,male,20,9
judge,14995-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,40,39
judge,15479-user@example.com,General,Israel,Executive,female,10,0
judge,15497-user@example.com,High Tech,Israel,Executive,male,10,10
judge,15974-user@example.com,General,Boston,Other,male,30,30
judge,16511-user@example.com,High Tech,Israel,Investor,male,10,10
judge,16517-user@example.com,Healthcare / Life Sciences,Israel,Investor,prefer not to state,10,9
judge,16532-user@example.com,High Tech,Israel,Investor,male,10,9
judge,16575-user@example.com,High Tech,Boston,Executive,male,20,5
judge,17324-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,17795-user@example.com,Energy / Clean Tech,Switzerland,Executive,male,10,10
judge,17804-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,18178-user@example.com,General,UK,Executive,male,30,30
judge,18194-user@example.com,General,UK,Executive,female,20,20
judge,18507-user@example.com,General,Boston,Other,male,10,4
judge,19110-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,19509-user@example.com,Healthcare / Life Sciences,Israel,Executive,female,10,10
judge,19946-user@example.com,High Tech,Boston,Other,male,20,19
judge,20116-user@example.com,High Tech,Israel,Executive,male,10,10
judge,20863-user@example.com,High Tech,Boston,Other,male,20,20
judge,21085-user@example.com,High Tech,Boston,Other,male,100,46
judge,21112-user@example.com,General,Boston,Other,male,20,20
judge,21122-user@example.com,General,Boston,Executive,female,30,30
judge,21125-user@example.com,General,Boston,Executive,female,10,10
judge,21164-user@example.com,General,Switzerland,Executive,male,20,20
judge,21174-user@example.com,Social Impact,Boston,Executive,female,10,10
judge,21194-user@example.com,High Tech,Boston,Executive,female,10,9
judge,21226-user@example.com,Healthcare / Life Sciences,Boston,Other,male,20,19
judge,21258-user@example.com,High Tech,Boston,Other,male,10,5
judge,21281-user@example.com,High Tech,Boston,Other,male,10,10
judge,21284-user@example.com,General,Boston,Executive,female,20,17
judge,21304-user@example.com,Healthcare / Life Sciences,Israel,Investor,prefer not to state,10,10
judge,21308-user@example.com,General,Boston,Executive,female,40,20
judge,21328-user@example.com,General,Israel,Other,female,1,0
judge,21518-user@example.com,General,Boston,Investor,female,10,10
judge,21534-user@example.com,High Tech,Boston,Other,male,10,10
judge,21634-user@example.com,Healthcare / Life Sciences,Boston,Executive,female,20,19
judge,21663-user@example.com,Social Impact,Boston,Other,female,40,20
judge,21668-user@example.com,High Tech,Boston,Investor,female,30,30
judge,21697-user@example.com,High Tech,Boston,Executive,male,20,20
judge,21698-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,20,20
judge,21702-user@example.com,General,Boston,Executive,male,20,20
judge,21712-user@example.com,Social Impact,Boston,Other,female,10,10
judge,21751-user@example.com,General,UK,Other,female,10,9
judge,21814-user@example.com,Healthcare / Life Sciences,Boston,Executive,female,20,10
judge,21863-user@example.com,Social Impact,Boston,Other,prefer not to state,10,2
judge,21879-user@example.com,General,Boston,Executive,female,20,20
judge,21912-user@example.com,Healthcare / Life Sciences,Israel,Lawyer,male,20,20
judge,21913-user@example.com,General,Boston,Executive,male,10,10
judge,21941-user@example.com,General,UK,Other,male,20,20
judge,21965-user@example.com,High Tech,Boston,Other,male,10,10
judge,21994-user@example.com,High Tech,Boston,Executive,male,10,10
judge,22050-user@example.com,General,Boston,Other,female,20,20
judge,22094-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,22102-user@example.com,General,UK,Executive,male,40,40
judge,22112-user@example.com,General,UK,Other,female,10,10
judge,22127-user@example.com,High Tech,Israel,Executive,male,20,19
judge,22142-user@example.com,High Tech,UK,Executive,male,80,20
judge,22170-user@example.com,High Tech,Switzerland,Other,male,20,20
judge,22245-user@example.com,Healthcare / Life Sciences,UK,Executive,male,20,19
judge,22273-user@example.com,General,UK,Investor,male,80,0
judge,22289-user@example.com,High Tech,UK,Other,female,10,10
judge,22338-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,22347-user@example.com,General,Boston,Executive,male,10,10
judge,22404-user@example.com,High Tech,Boston,Other,male,10,10
judge,22421-user@example.com,Healthcare / Life Sciences,Boston,Other,male,10,10
judge,22460-user@example.com,High Tech,UK,Other,male,10,9
judge,22586-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,22729-user@example.com,General,Boston,Executive,female,10,10
judge,22871-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,female,20,0
judge,22905-user@example.com,General,UK,Other,male,10,10
judge,22973-user@example.com,General,Boston,Executive,female,10,10
judge,22986-user@example.com,Social Impact,Boston,Executive,female,30,30
judge,22996-user@example.com,Social Impact,UK,Executive,female,30,20
judge,23030-user@example.com,Energy / Clean Tech,UK,Executive,male,40,40
judge,23041-user@example.com,General,Boston,Executive,male,40,39
judge,23152-user@example.com,General,UK,Other,female,10,10
judge,23173-user@example.com,General,UK,Executive,female,20,19
judge,23292-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,50,15
judge,23497-user@example.com,High Tech,UK,Executive,male,10,10
judge,23510-user@example.com,General,UK,Executive,male,10,7
judge,23558-user@example.com,General,Boston,Executive,female,20,20
judge,23568-user@example.com,High Tech,Boston,Executive,male,20,20
judge,23578-user@example.com,General,Israel,Other,female,20,20
judge,23598-user@example.com,High Tech,Israel,Investor,male,10,10
judge,23702-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,0
judge,23706-user@example.com,High Tech,Israel,Executive,male,10,10
judge,23710-user@example.com,High Tech,Israel,Executive,male,10,10
judge,23736-user@example.com,General,Boston,Executive,male,20,20
judge,23754-user@example.com,High Tech,Israel,Lawyer,male,10,10
judge,23773-user@example.com,Healthcare / Life Sciences,Israel,Executive,male,20,20
judge,23797-user@example.com,Healthcare / Life Sciences,Boston,Other,female,20,20
judge,23834-user@example.com,High Tech,Israel,Executive,male,10,10
judge,23873-user@example.com,General,Israel,Executive,male,10,10
judge,23929-user@example.com,High Tech,Israel,Lawyer,male,10,10
judge,23954-user@example.com,General,Israel,Other,male,10,10
judge,24017-user@example.com,General,Israel,Investor,female,10,9
judge,24071-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,24171-user@example.com,General,UK,Other,male,20,20
judge,24182-user@example.com,High Tech,Israel,Other,male,20,10
judge,24226-user@example.com,High Tech,UK,Executive,prefer not to state,48,42
judge,24237-user@example.com,General,Israel,Investor,male,20,19
judge,24292-user@example.com,High Tech,Israel,Investor,male,10,10
judge,24330-user@example.com,High Tech,Switzerland,Executive,male,20,20
judge,24332-user@example.com,High Tech,UK,Executive,male,10,8
judge,24335-user@example.com,High Tech,Israel,Executive,male,10,10
judge,24383-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,10,10
judge,24396-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,10,10
judge,24445-user@example.com,Social Impact,Switzerland,Executive,female,10,10
judge,24520-user@example.com,General,UK,Executive,male,10,10
judge,24682-user@example.com,General,Switzerland,Other,female,20,20
judge,24706-user@example.com,General,Switzerland,Executive,male,10,10
judge,24783-user@example.com,High Tech,Israel,Other,prefer not to state,10,10
judge,24816-user@example.com,High Tech,Switzerland,Other,male,20,19
judge,24842-user@example.com,Healthcare / Life Sciences,Switzerland,Other,male,10,10
judge,25048-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,10,5
judge,25085-user@example.com,High Tech,Boston,Investor,prefer not to state,30,30
judge,25171-user@example.com,General,Israel,Other,male,20,20
judge,25177-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,20,20
judge,25183-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,25188-user@example.com,General,Switzerland,Other,male,10,2
judge,25198-user@example.com,Social Impact,Switzerland,Executive,male,30,30
judge,25223-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,25240-user@example.com,General,Switzerland,Executive,male,20,19
judge,25339-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,25361-user@example.com,High Tech,Switzerland,Executive,male,20,18
judge,25391-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,female,10,10
judge,25496-user@example.com,Social Impact,Israel,Investor,female,10,10
judge,25664-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,10,10
judge,25681-user@example.com,General,UK,Executive,male,30,5
judge,25743-user@example.com,General,Switzerland,Executive,male,20,20
judge,25746-user@example.com,Social Impact,Switzerland,Executive,male,10,10
judge,25801-user@example.com,Healthcare / Life Sciences,Israel,Executive,male,0,29
judge,25808-user@example.com,General,Boston,Executive,male,10,4
judge,25830-user@example.com,General,Israel,Investor,male,20,18
judge,25841-user@example.com,Healthcare / Life Sciences,Switzerland,Lawyer,male,10,10
judge,25863-user@example.com,General,Switzerland,Other,male,20,20
judge,25883-user@example.com,General,Switzerland,Investor,male,10,10
judge,25905-user@example.com,General,Switzerland,Executive,female,20,20
judge,25907-user@example.com,High Tech,Switzerland,Executive,male,20,20
judge,25976-user@example.com,High Tech,Israel,Investor,male,10,10
judge,25985-user@example.com,High Tech,UK,Executive,male,20,20
judge,25986-user@example.com,General,Switzerland,Other,female,20,20
judge,26056-user@example.com,General,Switzerland,Executive,male,40,38
judge,26085-user@example.com,High Tech,Boston,Investor,male,10,5
judge,26116-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,26141-user@example.com,General,Switzerland,Executive,male,10,10
judge,26217-user@example.com,Healthcare / Life Sciences,Switzerland,Lawyer,male,20,20
judge,26264-user@example.com,General,Israel,Executive,male,10,8
judge,26366-user@example.com,General,Switzerland,Lawyer,female,20,20
judge,26388-user@example.com,General,Switzerland,Other,female,20,20
judge,26410-user@example.com,High Tech,Switzerland,Executive,male,30,30
judge,26460-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,26658-user@example.com,General,Switzerland,Other,male,10,1
judge,26715-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,26809-user@example.com,High Tech,Israel,Investor,female,10,10
judge,26894-user@example.com,General,Switzerland,Executive,male,30,30
judge,26905-user@example.com,General,Israel,Lawyer,male,10,10
judge,27011-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,female,20,20
judge,27064-user@example.com,High Tech,Boston,Executive,female,10,1
judge,27106-user@example.com,General,Switzerland,Other,male,30,30
judge,27144-user@example.com,General,Switzerland,Executive,male,10,10
judge,27154-user@example.com,General,Switzerland,Executive,male,30,30
judge,27155-user@example.com,High Tech,Boston,Other,male,30,24
judge,27156-user@example.com,General,Boston,Executive,male,10,10
judge,27192-user@example.com,General,Israel,Executive,male,10,10
judge,27194-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,20,20
judge,27217-user@example.com,High Tech,Boston,Executive,male,10,10
judge,27264-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,10,1
judge,27465-user@example.com,High Tech,Israel,Investor,male,20,20
judge,27507-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,20,20
judge,27704-user@example.com,High Tech,Israel,Executive,male,10,10
judge,27712-user@example.com,Healthcare / Life Sciences,UK,Investor,male,10,10
judge,27904-user@example.com,General,Boston,Executive,male,20,20
judge,28029-user@example.com,High Tech,Israel,Investor,male,10,4
judge,28253-user@example.com,High Tech,Boston,Other,male,20,10
judge,28341-user@example.com,High Tech,Boston,Executive,male,40,40
judge,28580-user@example.com,General,Boston,Other,male,20,20
judge,28700-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,20,20
judge,28915-user@example.com,General,Israel,Other,male,20,20
judge,29076-user@example.com,High Tech,Boston,Executive,male,10,10
judge,29151-user@example.com,High Tech,Boston,Executive,male,20,20
judge,30081-user@example.com,General,Israel,Executive,female,20,19
judge,30111-user@example.com,General,Switzerland,Other,male,30,30
judge,30113-user@example.com,High Tech,Israel,Other,male,10,10
judge,30122-user@example.com,High Tech,Israel,Investor,male,10,0
judge,30146-user@example.com,High Tech,Israel,Executive,male,20,18
judge,30149-user@example.com,Healthcare / Life Sciences,Israel,Executive,male,10,9
judge,30201-user@example.com,Healthcare / Life Sciences,Switzerland,Other,male,20,20
judge,30271-user@example.com,Energy / Clean Tech,Israel,Executive,male,0,10
judge,30295-user@example.com,General,Israel,Executive,male,20,20
judge,30330-user@example.com,High Tech,Switzerland,Executive,male,20,20
judge,30372-user@example.com,High Tech,Boston,Executive,male,20,15
judge,30435-user@example.com,Social Impact,Israel,Lawyer,female,20,20
judge,30439-user@example.com,High Tech,Boston,Other,male,20,14
judge,30449-user@example.com,High Tech,Switzerland,Investor,male,10,10
judge,30493-user@example.com,General,Boston,Other,female,20,20
judge,30508-user@example.com,High Tech,UK,Executive,male,10,10
judge,30525-user@example.com,General,Boston,Executive,female,30,30
judge,30591-user@example.com,General,Boston,Executive,male,10,10
judge,30616-user@example.com,High Tech,Boston,Executive,male,10,10
judge,30649-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,20,20
judge,30652-user@example.com,High Tech,Israel,Executive,male,20,18
judge,30667-user@example.com,High Tech,Boston,Other,male,20,20
judge,30670-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,female,10,10
judge,30687-user@example.com,High Tech,Boston,Investor,male,10,10
judge,30743-user@example.com,High Tech,Israel,Investor,male,20,20
judge,30778-user@example.com,General,Switzerland,Executive,male,20,20
judge,30785-user@example.com,Healthcare / Life Sciences,Switzerland,Other,male,20,20
judge,30815-user@example.com,General,Switzerland,Executive,male,10,10
judge,30818-user@example.com,Healthcare / Life Sciences,Israel,Executive,male,30,17
judge,30824-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,30825-user@example.com,General,Boston,Executive,male,10,10
judge,30851-user@example.com,Social Impact,Boston,Other,female,20,20
judge,30863-user@example.com,High Tech,Boston,Executive,female,10,10
judge,30877-user@example.com,General,Boston,Executive,male,20,20
judge,31191-user@example.com,Energy / Clean Tech,UK,Executive,female,10,3
judge,31367-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,10,10
judge,31398-user@example.com,High Tech,UK,Investor,male,10,10
judge,31529-user@example.com,Healthcare / Life Sciences,Boston,Investor,male,10,9
judge,31569-user@example.com,High Tech,Israel,Executive,male,20,10
judge,31711-user@example.com,General,Switzerland,Executive,female,10,10
judge,31779-user@example.com,Healthcare / Life Sciences,UK,Other,female,10,10
judge,31898-user@example.com,General,Israel,Other,male,10,8
judge,31933-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,32032-user@example.com,General,Switzerland,Executive,male,20,20
judge,32143-user@example.com,Energy / Clean Tech,Boston,Investor,male,20,20
judge,32470-user@example.com,Energy / Clean Tech,Boston,Other,male,10,9
judge,32641-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,50,40
judge,32678-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,20,10
judge,32706-user@example.com,General,Switzerland,Other,male,10,3
judge,32925-user@example.com,Healthcare / Life Sciences,Boston,Other,male,20,20
judge,33246-user@example.com,High Tech,Boston,Executive,male,20,1
judge,33316-user@example.com,General,Switzerland,Executive,male,10,10
judge,33351-user@example.com,High Tech,Israel,Executive,male,10,10
judge,33744-user@example.com,High Tech,Boston,Executive,female,10,10
judge,33906-user@example.com,High Tech,Boston,Other,female,30,29
judge,33930-user@example.com,General,Boston,Other,male,10,10
judge,33935-user@example.com,Social Impact,Boston,Other,male,10,9
judge,33986-user@example.com,High Tech,Switzerland,Executive,male,30,30
judge,34051-user@example.com,General,Switzerland,Investor,male,30,30
judge,34179-user@example.com,General,Boston,Executive,male,20,20
judge,34231-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,10,10
judge,34251-user@example.com,General,Israel,Other,female,10,10
judge,34503-user@example.com,Healthcare / Life Sciences,Israel,Executive,female,20,19
judge,34523-user@example.com,High Tech,Switzerland,Executive,male,10,10
judge,34589-user@example.com,High Tech,Boston,Executive,male,10,7
judge,34931-user@example.com,High Tech,Switzerland,Executive,male,20,20
judge,35156-user@example.com,General,Boston,Executive,female,30,3
judge,35458-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,9
judge,35538-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,40,40
judge,35547-user@example.com,General,Boston,Other,male,10,10
judge,35676-user@example.com,General,Boston,Other,female,10,10
judge,35740-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,male,20,1
judge,35774-user@example.com,High Tech,Boston,Other,female,10,10
judge,35794-user@example.com,High Tech,Switzerland,Executive,male,50,46
judge,35818-user@example.com,High Tech,UK,Other,female,10,10
judge,35835-user@example.com,Healthcare / Life Sciences,Switzerland,Executive,female,10,10
judge,35849-user@example.com,Social Impact,Switzerland,Other,male,40,39
judge,35959-user@example.com,High Tech,Switzerland,Other,male,10,10
judge,36012-user@example.com,Social Impact,Boston,Other,male,10,10
judge,36021-user@example.com,High Tech,Switzerland,Other,male,80,80
judge,36024-user@example.com,General,Boston,Investor,male,50,20
judge,36026-user@example.com,High Tech,Boston,Executive,female,20,20
judge,36036-user@example.com,General,Boston,Executive,male,20,20
